All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,Source
"Sucrose 225 mM, Mannitol 250 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,19%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 225 mM, Glycerol 684 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,94%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Glycerol 342 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,78%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Glycerol 342 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,102%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Glycerol 0 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,78%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Glycerol 171 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,59%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Glycerol 684 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,64%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 75 mM, Glycerol 68 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,53%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Glycerol 171 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,36%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 50 mM, Glycerol 68 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,38%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 75 mM, Glycerol 684 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,67%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Glycerol 684 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,76%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Glycerol 513 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,68%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Glycerol 68 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,31%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 225 mM, Glycerol 513 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,44%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 75 mM, Glycerol 684 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,46%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Glycerol 754 mM, Creatine 24 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,113%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 50 mM, Glycerol 513 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,110%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 225 mM, Glycerol 342 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,55%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 300 mM, Glycerol 513 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,54%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Glycerol 684 mM, Creatine 3 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,43%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Glycerol 171 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,58%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Glycerol 684 mM, Creatine 0 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,54%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Glycerol 68 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,33%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Glycerol 342 mM, Creatine 6 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,30%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Glycerol 684 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,45%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 0 mM, Glycerol 68 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,21%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Glycerol 171 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,39%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 150 mM, Glycerol 68 mM, Creatine 13 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,68%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Glycerol 684 mM, Creatine 19 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,43%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
"Sucrose 30 mM, Glycerol 171 mM, Creatine 25 mM",0%,"1. Starting temp 20°C
2.-10°C/min to 0°C
3. Hold at 0°C for 15 min
4.-1°C/min to-8°C
5.-50°C/min to-45°C
6. +15°C/min to-12°C
7.-3°C/min to-100°C",Not mentioned ,41%,Not mentioned ,,,https://doi.org/10.1089/TEN.TEC.2016.0288,,,,,,,,,,
PEG 400 (10 wt% in DMEM）,"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,5%,Not mentioned ,"Trypan blue and CCK-8 assay was utilized to quantify cell viability and cytotoxicity. Alizarin Red staining, Oil Red O staining, and Alcian Blue staining were employed to confirm the ability of osteogenic differentiation, adipogenic differentiation, chondrogenic differentiation respectively.","The result showed the 2h pretreatment of 400KDa-600KDa PEG and 0h pretreatment of middle range of molecular weight of PEG (1K, 1.5K, 5K Da) can improve the recovery rate of MSCs in cryoprotectant.",https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 600 (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,5%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 1K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,35%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 1.5K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,48%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 5K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,55%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 10K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,28%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 20K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,22%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
DMSO 10% in DMEM (control),10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,25%,70 ± 2.8%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 400 (10 wt% in DMEM）,"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,50%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 600 (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,50%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 1K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,30%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 1.5K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,20%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 5K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,10%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 10K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,5%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 20K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,3%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
DMSO 10% in DMEM (control),10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,70 ± 2.8%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 400 (10 wt% in DMEM）,"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,20%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 600 (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,10%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 1K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,8%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 1.5K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,5%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 5K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,5%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 10K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,3%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
PEG 20K (10 wt% in DMEM),"0
",1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,2%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
DMSO 10% in DMEM (control),10%,1°C/min  to −80°C and then stored in a liquid nitrogen tank,Not mentioned ,70 ± 2.8%,Not mentioned ,,,https://doi.org/10.1186/s40824-023-00356-z,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10% DMSO + 2%FBS (control),10%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",65%,Not mentioned ,65–75h,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
5% DMSO + 2%FBS,5%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",63%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
3% DMSO + 2%FBS,3%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",67%,Not mentioned ,130–140h,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
5% DMSO + 0.1% HMW-HA + 2%FBS,5%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",75%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
5% DMSO + 0.2% HMW-HA + 2%FBS,5%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",70%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
3% DMSO + 0.1% HMW-HA + 2%FBS,3%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",70%,Not mentioned ,60–70h,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
3% DMSO + 0.2% HMW-HA + FBS,3%,"Uncontrolled-rate freezing (placed at −20°C for 1–1.5 h, then −80°C)",78%,Not mentioned ,Not mentioned ,,,https://doi.org/10.3390/biom12050610,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PBS + 0.1% methylcellulose + 1% proline + 1% ectoin,0%,1°C/min  to −150°C,68 ± 14%,24 ± 17% (48h),Not mentioned ,Viability testing and adipogenic differentiation ability were tested by Trypan Blue dye and Oil red O staining respectively,"The result showed the optimal non-commercial DMSO-free cryoprotectant protocol is PBS + 0.1% methylcellulose + 1% proline + 1% ectoin, Moreover, a combination of two compatible solutes is more effective than the single molecules alone.",https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 1% proline + 1% ectoin,0%,5°C/min  to −150°C,76 ± 5%,64 ± 2% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 1% proline + 1% ectoin,0%,10°C/min  to −150°C,66 ± 3%,47 ± 13% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 1% proline + 10% ectoin,0%,1°C/min  to −150°C,62 ± 7%,52 ± 18% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 1% proline + 10% ectoin,0%,5°C/min  to −150°C,81 ± 2%,78 ± 5% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 1% proline + 10% ectoin,0%,10°C/min  to −150°C,66 ± 18%,81 ± 5% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 5% proline + 5% ectoin,0%,1°C/min  to −150°C,65 ± 6%,38 ± 20% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 5% proline + 5% ectoin,0%,5°C/min  to −150°C,86 ± 11%,57 ± 3% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 5% proline + 5% ectoin,0%,10°C/min  to −150°C,84 ± 5%,64 ± 9% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% proline + 1% ectoin,0%,1°C/min  to −150°C,58 ± 1%,19 ± 11% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% proline + 1% ectoin,0%,5°C/min  to −150°C,67 ± 1%,27 ± 2% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% proline + 1% ectoin,0%,10°C/min  to −150°C,70 ± 7%,22 ± 7% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% proline + 10% ectoin,0%,1°C/min  to −150°C,68 ± 13%,48 ± 8% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% proline + 10% ectoin,0%,5°C/min  to −150°C,72 ± 18%,72 ± 7% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% proline + 10% ectoin,0%,10°C/min  to −150°C,72 ± 2%,64 ± 7% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose + 10% DMSO (positive control),10%,10°C/min  to −150°C,91 ± 6%,98 ± 2% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
PBS + 0.1% methylcellulose (negative control),0%,10°C/min  to −150°C,38 ± 22%,12 ± 3% (48h),Not mentioned ,,,https://doi.org/10.1016/j.cryobiol.2011.05.002,,,,,,,,,,
Medium 199 + 10% FCS + 5% Me2SO,5%,"-1°C/min to -80°C, then liquid nitrogen",73 ± 5%,Not mentioned,Not mentioned,"Two-step slow freezing, no controlled ice nucleation",Lower viability and metabolic activity for AEMS compared to CSMS with 5% Me2SO,https://doi.org/10.1016/j.cryobiol.2013.02.002,,,,,,,,,,
Medium 199 + 10% FCS + 10% Me2SO,10%,"-1°C/min to -80°C, then liquid nitrogen",82 ± 2%,Not mentioned ,Not mentioned,"Two-step slow freezing, no controlled ice nucleation",No significant difference in viability between AEMS and CSMS with 10% Me2SO,https://doi.org/10.1016/j.cryobiol.2013.02.002,,,,,,,,,,
Medium 199 + 10% FCS + 10% Me2SO,10%,"-1°C/min to -7°C, ice nucleation, -1°C/min to -40°C, -10°C/min to -80°C, then liquid nitrogen", 88 ± 3%,Not mentioned,Not mentioned,Three-step slow cooling with controlled ice nucleation,Highest viability and metabolic activity for AEMS; retained multilineage differentiation,https://doi.org/10.1016/j.cryobiol.2013.02.002,,,,,,,,,,
Medium 199 + 10% FCS + 10% Me2SO,10%,Approx. -200°C/min (direct immersion in liquid nitrogen,3 ± 4%,Not mentioned ,Not mentioned,Rapid one-step freezing,"Critical damage to MSCs, loss of alginate transparency",https://doi.org/10.1016/j.cryobiol.2013.02.002,,,,,,,,,,
 Plasmalyte A + Sucrose + Glycerol + Isoleucine,0%,"-10°C/min to 0°C, hold 15 min, -1°C/min to -8°C, -50°C/min to -45°C, +15°C/min to -12°C, -3°C/min to -100°C, then liquid nitrogen",82.90%,92.9% (95% CI: 85.7–100%),Not mentioned,Controlled rate freezing with standardized protocol; SGI incubated at room temperature for 1 hour,Slightly lower viability (82.9%) but higher recovery (92.9%); comparable immunophenotype and gene expression,https://doi.org/10.1016/j.jcyt.2024.07.001,,,,,,,,,,
 Plasmalyte A + Sucrose + Glycerol + Isoleucine,0%,"-80°C overnight in isopropanol rack, then liquid nitrogen",82.90%,Not separately reported; assumed similar to 92.9% (paper averages all SGI results),Not mentioned,Freezing at -80°C overnight in isopropanol rack; SGI incubated at room temperature for 1 hour,Not separately reported; assumed comparable immunophenotype and gene expression,https://doi.org/10.1016/j.jcyt.2024.07.001,,,,,,,,,,
 Plasmalyte A + 5–10% DMSO + 1–6% HSA or 20–30% FBS or 30% hPL,5–10%,"Mostly -1°C/min to -80°C, then liquid nitrogen",89.80%,"87.3% (92.9% minus 5.6% reduction, 95% CI: 1.3–9.8%)",Not mentioned,"Center-specific freezing, mostly -1°C/min; in-house solution kept on ice before freezing",Higher viability (89.8%) but lower recovery (87.3%); slightly lower CD73 and CD90 expression,https://doi.org/10.1016/j.jcyt.2024.07.001,,,,,,,,,,
E8 medium + 50% KnockOut Serum Replacement + 10% DMSO + 10 μM ROCK Inhibitor,10%,-1°C/min to -80°C (CoolCell container),80%,Not mentioned,Not mentioned,"Conventional freezing in CoolCell, -1°C/min, cryovials",Baseline viability; no significant difference from bottom-up at 10% DMSO,https://doi.org/10.1002/btpr.70019,,,,,,,,,,
E8 medium + 50% KnockOut Serum Replacement + 10% DMSO + 10 μM ROCK Inhibitor,10%,"90 s nucleation at -80°C, then -1°C/min from -5°C to -80°C",80%,Not mentioned ,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -1°C/min, cryovials",Similar viability to conventional at 10% DMSO; differentiation unaffected,https://doi.org/10.1002/btpr.70019,,,,,,,,,,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,"90 s nucleation at -80°C, then -1°C/min from -5°C to -80°C",75%,Not mentioned,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -1°C/min, cryovials",Higher metabolic viability (53%) than conventional (41%) at 5% DMSO,https://doi.org/10.1002/btpr.70019,,,,,,,,,,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,"90 s nucleation at -80°C, then -2°C/min from -5°C to -80°C",87%,Not mentioned,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -2°C/min, cryovials","Optimal viability (87% membrane, 62% metabolic), 7–21% improvement over conventional",https://doi.org/10.1002/btpr.70019,,,,,,,,,,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,"90 s nucleation at -80°C, then -2°C/min from -5°C to -80°C",69%,Not mentioned,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -2°C/min, 30 mL CryoMACS bags","Lower viability in bags (69% membrane, 31% metabolic) but 9–8% better than conventional",https://doi.org/10.1002/btpr.70019,,,,,,,,,,
